rank,mark,wind,competitor,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,season
1,36.84,,Jamaica,JAM,1,"Olympic Stadium, London (GBR)",2012-08-11,1318.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,36.84,GBR,2012
2,37.04,,Jamaica,JAM,1,"DS, Daegu (KOR)",2011-09-04,1302.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.04,KOR,2011
3,37.1,,United States,USA,1,"Khalifa International Stadium, Doha (QAT)",2019-10-05,1297.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.1,QAT,2019
4,37.27,,Jamaica,JAM,1,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-19,1283.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.27,BRA,2016
5,37.31,,Jamaica,JAM,1,"Olympiastadion, Berlin (GER)",2009-08-22,1280.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.31,GER,2009
6,37.36,,Great Britain & NI,GBR,2,"Khalifa International Stadium, Doha (QAT)",2019-10-05,1276.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.36,QAT,2019
6,37.36,,Jamaica,JAM,1,"National Stadium, Beijing (CHN)",2015-08-29,1276.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.36,CHN,2015
6,37.36,,Jamaica,JAM,1,"Luzhniki Stadion, Moskva (RUS)",2013-08-18,1276.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.36,RUS,2013
9,37.38,,United States,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1275.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.38,HUN,2023
9,37.38,,United States,USA,1f1,"T. Robinson Stadium, Nassau (BAH)",2015-05-02,1275.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.38,BAH,2015
11,37.39,,Jamaica,JAM,1h1,"Olympic Stadium, London (GBR)",2012-08-10,1274.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.39,GBR,2012
12,37.4,,United States,USA,1f1,"The Bahamas National Stadium, Nassau (BAH)",2024-05-05,1273.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.4,BAH,2024
12,37.4,,United States,USA,1sf1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-21,1273.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.4,GER,1993
12,37.4,,United States,USA,1,"Estadio Olímpico, Barcelona (ESP)",1992-08-08,1273.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.4,ESP,1992
15,37.41,,Jamaica,JAM,1h2,"National Stadium, Beijing (CHN)",2015-08-29,1272.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.41,CHN,2015
16,37.43,,Japan,JPN,3,"Khalifa International Stadium, Doha (QAT)",2019-10-05,1271.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.43,QAT,2019
17,37.45,,United States,USA,1,"Letzigrund, Zürich (SUI)",2010-08-19,1269.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.45,SUI,2010
18,37.47,,United States,USA,1h1,"Stade de France, Paris (FRA)",2024-08-08,1268.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.47,FRA,2024
18,37.47,,Great Britain & NI,GBR,1,"Olympic Stadium, London (GBR)",2017-08-12,1268.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.47,GBR,2017
20,37.48,,United States,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-22,1267.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.48,GER,1993
20,37.48,,Canada,CAN,1,"Hayward Field, Eugene, OR (USA)",2022-07-23,1267.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.48,USA,2022
22,37.49,,United States,USA,11,"The Bahamas National Stadium, Nassau (BAH)",2024-05-04,1266.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.49,BAH,2024
23,37.5,,Canada,CAN,1,"Stade de France, Paris (FRA)",2024-08-09,1265.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.5,FRA,2024
23,37.5,,Italy,ITA,1,"National Stadium, Tokyo (JPN)",2021-08-06,1265.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.5,JPN,2021
23,37.5,,United States,USA,1,"National Stadium, Tokyo (JPN)",1991-09-01,1265.0,4x100-metres-relay,relays,male,senior,4x100-metres-relay,track,37.5,JPN,1991
